sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
88,14.16,14.16,5.05,5.1,14.16,-0.6773795711673287,0.9803921568627452,13.482620428832671,,0,0,0
89,0.64,0.434,0.31,1.5733333333333333,0.434,0.6119339207612622,3.1779661016949152,1.0459339207612621,12.387022929371208,0,0,0
90,4.09,3.8813333333333335,0.44,2.0033333333333334,3.8813333333333335,-3.177188381954916,2.4958402662229617,0.7041449513784176,,0,0,0
91,14.35,13.695,2.56,4.125,13.695,17.79246943266346,1.2121212121212122,31.48746943266346,2.1042026538885312,0,0,0
92,0.84,0.5786666666666667,0.1,1.5666666666666669,0.5786666666666667,-0.21371854789974298,3.191489361702127,0.3649481187669237,,0,0,0
93,4.72,4.314,0.29,2.175,4.314,-3.4666042135606387,2.298850574712644,0.8473957864393614,,0,0,0
94,16.29,15.185,2.24,4.125,15.185,19.785730594587918,1.2121212121212122,34.97073059458792,2.29493232392299,0,0,0
95,1.04,0.515,0.15,1.5666666666666669,0.515,0.9291198782120954,3.191489361702127,1.4441198782120954,22.334339921488354,0,0,0
96,5.75,4.01075,0.32,2.225,4.01075,-0.38531786190437867,2.2471910112359548,3.625432138095621,,0,0,0
97,16.9,13.655,0.98,3.925,13.655,-2.026234177179221,1.2738853503184715,11.628765822820778,,0,0,0
98,1.33,0.569,0.12,1.5666666666666669,0.569,1.2210317592973408,3.191489361702127,1.7900317592973407,26.83192430882695,0,0,0
99,5.29,3.8055,0.38,2.1775,3.8055,-0.19168691951868677,2.296211251435132,3.613813080481313,,0,0,0
100,15.69,14.2025,1.12,3.865,14.2025,-7.460573044600028,1.2936610608020698,6.741926955399973,,0,0,0
101,1.19,0.5136666666666666,0.11,1.5599999999999998,0.5136666666666666,1.038448359817556,3.2051282051282053,1.5521150264842225,30.602665475157778,0,0,0
102,5.38,4.15275,0.33,2.175,4.15275,-1.4724189405602406,2.298850574712644,2.6803310594397596,,0,0,0
103,15.17,14.2325,0.94,4.6125,14.2325,-11.36963627202629,1.0840108401084012,2.862863727973711,,0,0,0
104,0.57,0.4153333333333333,0.46,1.61,0.4153333333333333,0.8499444666190914,3.105590062111801,1.2652777999524247,7.066845936576089,0,0,0
105,3.22,2.8175,0.38,2.1725,2.8175,-1.8068482693321088,2.3014959723820483,1.010651730667891,,0,0,0
106,11.06,11.03,6.69,7.0,11.03,4.692492734095216,0.7142857142857143,15.722492734095216,1.1085737117541472,0,0,0
107,0.88,0.5103333333333334,0.15,1.5566666666666666,0.5103333333333334,0.616792954848692,3.2119914346895078,1.1271262881820254,30.679035735366334,0,0,0
108,5.1,3.69825,0.24,2.175,3.69825,-1.221205234649847,2.298850574712644,2.477044765350153,,0,0,0
109,14.84,13.285,0.47,3.8575,13.285,-10.26079718678518,1.2961762799740766,3.02420281321482,,0,0,0
110,1.23,0.6225,0.15,2.1675,0.6225,0.8946128033522729,2.306805074971165,1.517112803352273,27.25583796204267,0,0,0
111,6.22,4.547499999999999,0.25,2.165,4.547499999999999,-1.5136231514609468,2.3094688221709005,3.0338768485390526,,0,0,0
112,18.37,16.2525,0.46,4.1075,16.2525,-12.353927321484726,1.2172854534388313,3.8985726785152757,,0,0,0
113,0.72,0.5333333333333333,0.21,1.5599999999999998,0.5333333333333333,-0.16037387092248068,3.2051282051282053,0.37295946241085265,,0,0,0
114,4.54,3.755,0.46,2.215,3.755,-1.4662056108854675,2.2573363431151243,2.2887943891145324,,0,0,0
115,14.29,13.226666666666668,3.02,4.84,13.226666666666668,46.48095842877371,1.0330578512396695,59.70762509544038,1.3576298266822067,0,0,0
116,1.16,0.5640000000000001,0.1,1.5533333333333337,0.5640000000000001,0.8589603725785593,3.218884120171673,1.4229603725785593,39.81220455083351,0,0,0
117,4.98,3.80875,0.28,2.16,3.80875,-1.5202558601654692,2.314814814814815,2.2884941398345306,,0,0,0
