u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
9.86790496230396,0.0796743371481683,1.6,0.093,2.2486028629786348,0.9705834016778496,0.20927807343532873
15.418601503599936,0.0796743371481683,2.5,0.1,1.275689493540873,3.8857327662005403,0.12541400903119593
11.101393082591954,0.1991858428704208,1.8,0.233,1.9904398436807709,2.477992668728014,0.2825982885479614
24.669762405759897,0.1991858428704208,4.0,0.251,0.792806515114832,1e-06,-0.25269593294249576
6.96920787962717,0.0153092991217785,1.13,0.045,1.6219045254507285,1e-06,-0.06570516930218105
10.731346646505555,0.0153092991217785,1.74,0.033,1.1936384711708052,2.0471244494968275,0.05886269917397386
13.136648481067144,0.0153092991217785,2.13,0.035,0.9488333573269884,4.1369867845224135,0.05962355928598723
21.58604210503991,0.0153092991217785,3.5,0.026,0.6801344819537776,1e-06,-0.03149918166134461
6.96920787962717,0.0153092991217785,1.13,0.055,1.524522904222498,1e-06,-0.08370839142854337
7.524277533756768,0.0153092991217785,1.22,0.039,1.5829859963913084,1e-06,-0.05490324492227101
8.942788872087963,0.0153092991217785,1.45,0.034,1.4123161332544465,1e-06,-0.04590165140723242
13.383346105124744,0.0153092991217785,2.17,0.028,1.0458293131757963,4.229274131256837,0.04386725915557295
3.700464360863984,0.0153092991217785,0.6,0.062,2.78103428223211,3.1095322419466456,0.18462425096288712
4.317208421007981,0.0153092991217785,0.7,0.05,2.530764500816095,1.001328625557214,-0.8044899239078892
5.550696541295977,0.0153092991217785,0.9,0.034,2.275398701589776,1e-06,-0.045901605956535196
11.101393082591954,0.0153092991217785,1.8,0.027,1.2897687725693818,2.477992668728014,0.04271821195788591
6.96920787962717,0.0153092991217785,1.13,0.043,1.6477168177591195,1e-06,-0.062104524876908575
8.449393623972766,0.0153092991217785,1.37,0.041,1.3828596668882291,1e-06,-0.058503905729815946
10.299625804404757,0.0153092991217785,1.67,0.032,1.2626030593869657,1.5170237864874778,0.06434594749698784
17.947252150190327,0.0153092991217785,2.91,0.03,0.7494886652754336,0.7711339047240884,0.0635029697108425
5.550696541295977,0.0153092991217785,0.9,0.037,2.192227389199339,1e-06,-0.05130257035804664
6.475812631511974,0.0153092991217785,1.05,0.032,2.0081400996379837,1e-06,-0.04230097444548594
7.09255669165597,0.0153092991217785,1.15,0.028,1.9734344433232216,1e-06,-0.03509969295117878
8.634416842015963,0.0153092991217785,1.4,0.024,1.8037445140554815,1e-06,-0.027898416397860455
4.625580451079981,0.0153092991217785,0.75,0.028,3.0259328132395527,0.1964345828332128,-0.04658958456356628
7.09255669165597,0.0153092991217785,1.15,0.026,2.0699745048837284,1e-06,-0.031499048396260054
6.784184661583972,0.0153092991217785,1.1,0.024,2.2956749282231264,1e-06,-0.027898401330038486
7.400928721727968,0.0153092991217785,1.2,0.022,2.2704692840433656,1e-06,-0.024297761473610097
