sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
136,-1.2964957421902865,0.9214285714285714,0.5933014354066986,4.18,10.366399999999999,6.209677419354839,14.19,5.721774193548387,3.68421052631579,218.526,3.3947368421052633
137,-0.8481256050604908,0.9126984126984127,0.6378378378378378,1.85,2.183,0.5338983050847458,0.575,0.4872881355932203,0.3405405405405405,0.36224999999999996,0.31081081081081074
138,0.4320105459237915,0.9121027721433402,0.38028169014084506,2.6033333333333335,2.5773,4.979797979797979,4.496666666666667,4.542087542087542,1.8937259923175414,22.168566666666667,1.7272727272727273
139,0.038851684591951936,0.9661610268378062,0.4557863501483679,4.2125,8.088000000000001,8.927083333333334,16.56,8.625,4.068842729970326,283.8384,3.931157270029673
140,0.6806860189800326,0.5451807228915663,0.24137931034482754,1.7400000000000002,0.7308000000000001,1.9761904761904763,0.4525,1.0773809523809526,0.4770114942528735,0.375575,0.2600574712643678
141,0.24631468502843695,0.9541864139020537,0.4779792746113989,2.5733333333333337,3.1652000000000005,3.430894308943089,4.026666666666666,3.2737127371273713,1.6398963730569944,16.99253333333333,1.564766839378238
142,0.884421745475382,0.9928381079280479,0.3698347107438017,4.84,8.6636,8.385474860335195,14.9025,8.325418994413408,3.1012396694214877,223.686525,3.0790289256198347
143,1.8230139085544779,0.82183908045977,0.20974576271186443,1.5733333333333333,0.5192,1.7575757575757573,0.4766666666666666,1.4444444444444442,0.3686440677966102,0.27646666666666664,0.3029661016949152
144,1.7324336497922264,0.8603752759381897,0.19792865362485618,2.1725,0.934175,10.534883720930234,3.8975,9.063953488372093,2.085155350978136,17.655675000000002,1.7940161104718069
145,-1.7078613486420964,0.958700067704807,0.7405485544848035,4.496666666666667,14.973900000000002,4.435435435435435,14.159999999999998,4.2522522522522515,3.2846553002223864,209.14319999999998,3.148999258710155
